Volcano,Lon,Lat,Time Eruption,Max Plume Height km,SO2 kt
Vanuatu,168,-15,2 Jan 2010,16,53
Turrialba,-82,5,17 Jan 2010,16,15
Soufriere Hills,-62,16,16 Feb 2010,18,45
Arenal,-84,9,2 Apr 2010,15,18
Indonesia,120,0,2 Apr 2010,15,15
Tungurahua,-78,-2,2 May 2010,17,39
Dukono,128,2,2 May 2010,16,14
Pacaya,-91,15,6 Jun 2010,17,38
Ulawun,150,-5,6 Jun 2010,16,19
Sarigan,145,16,6 Jun 2010,15,6
Costa Rica,-87,15,16 Jul 2010,16,18
Miyakejima M,140,35,16 Jul 2010,16,8
Karangetang,125,3,15 Aug 2010,16,17
Nicaragua,-85,15,15 Aug 2010,16,17
Galeras,-77,1,30 Aug 2010,16,16
Sinabung M,98,3,30 Aug 2010,16,20
Karangetang,125,3,4 Oct 2010,16,28
Barren Island,94,12,4 Oct 2010,16,19
Merapi,110,-7,8 Nov 2010,17,108
Tengger C.,110,-8,23 Dec 2010,17,23
Chile,-75,-40,23 Dec 2010,17,12
Tengger C.,110,-8,7 Jan 2011,16,40
Lokon-Empung,125,1,26 Feb 2011,16,49
Planchon,-75,-35,26 Feb 2011,15,11
Bulusan,125,13,26 Feb 2011,16,17
Karangetang,125,2,23 Mar 2011,16,25
Sangay,-78,-2,23 Mar 2011,15,12
Galeras,-77,1,12 Apr 2011,16,14
Tungurahua,-78,-2,2 May 2011,16,32
Dukono,128,2,2 May 2011,16,13
Vanuatu,160,-16,2 May 2011,15,7
Grimsvötn,-20,65,27 May 2011,14,20
Puyehue,-71,-41,11 Jun 2011,13,23
Nabro,41,13,21 Jun 2011,19,446
Soputan,125,1,20 Aug 2011,18,15
Marapi,100,0,20 Aug 2011,16,5
Manam,144,-4,19 Oct 2011,16,14
Nyamuragira,29,-1,18 Nov 2011,16,58
Gamalama,128,1,18 Dec 2011,16,27
Vanuatu,168,-16,12 Jan 2012,17,43
Nyamuragira,29,-1,12 Jan 2012,17,39
N.Ruiz,-76,-3,12 Mar 2012,16,17
Marapi,100,0,12 Mar 2012,17,21
