Volcano,VEI,Lon,Lat,Time Eruption,Max Plume Height km,SO2 kt
Nyamuragira,2,29.2,-1.408,11 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,12 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,13 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,14 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,15 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,16 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,17 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,18 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,19 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,20 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,21 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,22 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,23 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,24 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,25 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,26 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,27 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,28 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,29 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,30 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,31 Dec 2011,5,10
Nyamuragira,2,29.2,-1.408,1 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,2 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,3 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,4 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,5 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,6 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,7 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,8 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,9 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,10 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,11 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,12 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,13 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,14 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,15 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,16 Jan 2012,5,10
Nyamuragira,2,29.2,-1.408,17 Jan 2012,5,10
Etna,1,15.004,37.734,15 Nov 2011,11,4.8
Gamalama,2,127.33,0.8,4 Dec 2011,6,8
Zubair_Group,2,42.18,15.05,18 Dec 2011,5.2,1
Etna,1,15.004,37.734,5 Jan 2012,9,6.5
Etna,1,15.004,37.734,9 Feb 2012,9,1.1
Etna,1,15.004,37.734,4 Mar 2012,8,5
Etna,1,15.004,37.734,18 Mar 2012,8,6.8
Etna,1,15.004,37.734,1 Apr 2012,11,7.4
Etna,1,15.004,37.734,12 Apr 2012,6,2.7
Etna,1,15.004,37.734,24 Apr 2012,6,9.1
Tongariro,2,175.632,-39.157,6 Aug 2012,12,1
Soputan,3,124.725,1.108,27 Aug 2012,12,2
Bezymianny,3,160.587,55.978,1 Sep 2012,12,3
San_Cristobal,2,-87.004,12.702,8 Sep 2012,3.5,5
Fuego,3,-90.88,14.473,13 Sep 2012,8,2
Soputan,3,124.725,1.108,18 Sep 2012,9,10
Tolbachik,4,160.326,55.832,27 Nov 2012,10,40
Copahue,2,-71.17,-37.85,22 Dec 2012,10,500
San_Cristobal,2,-87.004,12.702,26 Dec 2012,4.5,1
